province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Bologna,744.0,0.0,744.0,100.0,7213.924297891325,0.10313387960246212,0.0,0.10313387960246212,
Sachsen,716.0,0.0,716.0,100.0,45898.839134069545,0.015599523070912077,0.0,0.015599523070912077,
Aveyron,681.0,0.0,681.0,100.0,17208.810146931664,0.03957275338535956,0.0,0.03957275338535956,
Łódź,668.0,0.0,668.0,100.0,47912.61627382707,0.013942048085671002,0.0,0.013942048085671002,
Verona,668.0,0.0,668.0,100.0,6263.807382266276,0.10664440319336804,0.0,0.10664440319336804,
Lozère,665.0,0.0,665.0,100.0,10190.376363139854,0.06525764861888776,0.0,0.06525764861888776,
Bozen,652.0,0.0,652.0,100.0,15707.48329222931,0.041508877512067936,0.0,0.041508877512067936,
Cremona,650.0,0.0,650.0,100.0,3584.09000527475,0.18135705270888478,0.0,0.18135705270888478,
Modena,627.0,0.0,627.0,100.0,5279.663006173349,0.1187575796536385,0.0,0.1187575796536385,
Udine,618.0,0.0,618.0,100.0,9651.900495999836,0.0640288407714238,0.0,0.0640288407714238,
Lodi,617.0,0.0,617.0,100.0,1607.3092925971027,0.3838713574554445,0.0,0.3838713574554445,
Piacenza,611.0,0.0,611.0,100.0,5186.92199595501,0.1177962576796961,0.0,0.1177962576796961,
Solothurn,603.0,0.0,603.0,100.0,1680.3081991914487,0.35886273737767804,0.0,0.35886273737767804,
Barcelona,587.0,0.0,587.0,100.0,13931.29434929422,0.042135352630011606,0.0,0.042135352630011606,
Ticino,585.0,0.0,585.0,100.0,6116.334424215956,0.09564552220752552,0.0,0.09564552220752552,
Schwyz,566.0,0.0,566.0,100.0,1957.70641102827,0.2891138307621483,0.0,0.2891138307621483,
Parma,548.0,0.0,548.0,100.0,6892.15418899332,0.0795106994087783,0.0,0.0795106994087783,
Macerata,538.0,0.0,538.0,100.0,5222.792754978563,0.10301002265256613,0.0,0.10301002265256613,
Luxembourg,533.0,0.0,533.0,100.0,10708.722654921836,0.049772509492999883,0.0,0.049772509492999883,
Luxembourg,533.0,0.0,533.0,100.0,2377.5934837313134,0.22417625369814193,0.0,0.22417625369814193,
Pyrénées-Orientales,514.0,0.0,514.0,100.0,7818.362476844809,0.06574266689761238,0.0,0.06574266689761238,
Oberösterreich,463.0,0.0,463.0,100.0,26675.0661232829,0.01735703288832255,0.0,0.01735703288832255,
Karlovacka,456.0,0.0,456.0,100.0,6654.372135002531,0.06852637495300322,0.0,0.06852637495300322,
Brandenburg,455.0,0.0,455.0,100.0,80820.48524680574,0.005629760803966256,0.0,0.005629760803966256,
West Bosnia,434.0,0.0,434.0,100.0,10164.722753156095,0.042696688393713954,0.0,0.042696688393713954,
Masovian,408.0,0.0,408.0,100.0,93468.35834525601,0.004365113576649312,0.0,0.004365113576649312,
Ancona,393.0,0.0,393.0,100.0,3826.2780659373902,0.1027107787848973,0.0,0.1027107787848973,
Gelderland,389.0,0.0,389.0,100.0,13560.818975404223,0.028685583127799598,0.0,0.028685583127799598,
Ravenna,374.0,0.0,374.0,100.0,3642.607542379687,0.10267370164057496,0.0,0.10267370164057496,
Hérault,365.0,0.0,365.0,100.0,11783.446100271245,0.030975658300129875,0.0,0.030975658300129875,
Thüringen,365.0,0.0,365.0,100.0,40338.967099698064,0.009048322905688183,0.0,0.009048322905688183,
Sankt Gallen,340.0,0.0,340.0,100.0,4406.287770052629,0.07716245913642154,0.0,0.07716245913642154,
Banja Luka,329.0,0.0,329.0,100.0,17632.776394989618,0.018658434306096337,0.0,0.018658434306096337,
Cetinje,319.0,0.0,319.0,100.0,1780.270349976156,0.17918626797568837,0.0,0.17918626797568837,
Central Bosnia,306.0,0.0,306.0,100.0,6627.902584314324,0.04616845164927188,0.0,0.04616845164927188,
Ardèche,303.0,0.0,303.0,100.0,11229.158610716588,0.0269833217700595,0.0,0.0269833217700595,
Aisne,302.0,0.0,302.0,100.0,17729.72982610554,0.01703353649277443,0.0,0.01703353649277443,
Tirol,302.0,0.0,302.0,100.0,27535.000090750826,0.010967859052284647,0.0,0.010967859052284647,
Rheinland-Pfalz,297.0,0.0,297.0,100.0,48402.58426572707,0.006136036009347954,0.0,0.006136036009347954,
Monza e Brianza,294.0,0.0,294.0,100.0,825.6710874169011,0.3560739917874251,0.0,0.3560739917874251,
Rieti,293.0,0.0,293.0,100.0,4905.246501849379,0.05973196247926236,0.0,0.05973196247926236,
Glarus,288.0,0.0,288.0,100.0,1444.6463698162563,0.19935674641028625,0.0,0.19935674641028625,
Belluno,281.0,0.0,281.0,100.0,7742.073238265164,0.03629518752304728,0.0,0.03629518752304728,
Trento,269.0,0.0,269.0,100.0,12753.745315862147,0.021091843481101828,0.0,0.021091843481101828,
Gard,267.0,0.0,267.0,100.0,11355.443470794571,0.023512952240632948,0.0,0.023512952240632948,
Basel-Landschaft,265.0,0.0,265.0,100.0,1200.9160003897325,0.22066489239380582,0.0,0.22066489239380582,
Zlatiborski,258.0,0.0,258.0,100.0,11697.859492127214,0.022055317058102535,0.0,0.022055317058102535,
Terni,252.0,0.0,252.0,100.0,3921.429651176354,0.06426227738763714,0.0,0.06426227738763714,
Zenica-Doboj,251.0,0.0,251.0,100.0,6685.650770379511,0.03754309170799718,0.0,0.03754309170799718,
Vâlcea,249.0,0.0,249.0,100.0,11320.749984756676,0.021995009194203302,0.0,0.021995009194203302,
Reggio Emilia,245.0,0.0,245.0,100.0,4563.155574992339,0.05369091541447419,0.0,0.05369091541447419,
Haute-Loire,237.0,0.0,237.0,100.0,10056.136571396257,0.023567699018142256,0.0,0.023567699018142256,
Bratislavský,223.0,0.0,223.0,100.0,4734.838883243985,0.04709769550747961,0.0,0.04709769550747961,
Marne,209.0,0.0,209.0,100.0,18765.56001388164,0.011137424081423325,0.0,0.011137424081423325,
Lot,208.0,0.0,208.0,100.0,10081.433229972803,0.020631987065251944,0.0,0.020631987065251944,
Pordenone,201.0,0.0,201.0,100.0,4545.014562332615,0.04422428074616372,0.0,0.04422428074616372,
Krapinsko-Zagorska,201.0,0.0,201.0,100.0,2648.678742959169,0.0758868928647186,0.0,0.0758868928647186,
Foča,200.0,0.0,200.0,100.0,5301.024969537424,0.03772855271373157,0.0,0.03772855271373157,
Puy-de-Dôme,197.0,0.0,197.0,100.0,16280.432442022624,0.012100415680084074,0.0,0.012100415680084074,
Kocevje,195.0,0.0,195.0,100.0,1207.06542029245,0.16154882471304252,0.0,0.16154882471304252,
Aube,191.0,0.0,191.0,100.0,13901.101477777253,0.013739918401814327,0.0,0.013739918401814327,
Sarajevo,188.0,0.0,188.0,100.0,2706.8548065076907,0.0694533003942507,0.0,0.0694533003942507,
Imperia,185.0,0.0,185.0,100.0,2378.610814222817,0.07777648991327173,0.0,0.07777648991327173,
Pesaro e Urbino,176.0,0.0,176.0,100.0,4948.253811252957,0.03556810275167245,0.0,0.03556810275167245,
Loiret,165.0,0.0,165.0,100.0,14930.83406994808,0.011050956646293623,0.0,0.011050956646293623,
Świętokrzyskie,162.0,0.0,162.0,100.0,27908.98143150657,0.0058045830299316295,0.0,0.0058045830299316295,
Trnavský,161.0,0.0,161.0,100.0,9276.497485921514,0.017355688420585658,0.0,0.017355688420585658,
Lublin,159.0,0.0,159.0,100.0,62896.972124921675,0.0025279436295312444,0.0,0.0025279436295312444,
Bern,158.0,0.0,158.0,100.0,12644.254022826795,0.012495794509882596,0.0,0.012495794509882596,
Uri,153.0,0.0,153.0,100.0,2281.712388110745,0.0670549017471408,0.0,0.0670549017471408,
Královéhradecký,152.0,0.0,152.0,100.0,11687.343880304337,0.013005521319189757,0.0,0.013005521319189757,
Arges,148.0,0.0,148.0,100.0,13375.788664253121,0.011064768120591716,0.0,0.011064768120591716,
Graubünden,147.0,0.0,147.0,100.0,14896.134798313868,0.009868331751176105,0.0,0.009868331751176105,
Slovenska Bistrica,144.0,0.0,144.0,100.0,729.2991290214801,0.19744984502204,0.0,0.19744984502204,
Sondrio,138.0,0.0,138.0,100.0,6782.30439826001,0.02034706670426112,0.0,0.02034706670426112,
Essonne,138.0,0.0,138.0,100.0,4187.856312239516,0.03295241997598588,0.0,0.03295241997598588,
Dolj,138.0,0.0,138.0,100.0,13692.861953305744,0.010078243720749985,0.0,0.010078243720749985,
Zadarska,136.0,0.0,136.0,100.0,11839.166734318038,0.011487294929784085,0.0,0.011487294929784085,
Nidwalden,136.0,0.0,136.0,100.0,582.1907908470932,0.2336003972205034,0.0,0.2336003972205034,
Friesland,133.0,0.0,133.0,100.0,10862.71010501649,0.012243721752141714,0.0,0.012243721752141714,
Novara,131.0,0.0,131.0,100.0,2704.866318217859,0.04843122897338279,0.0,0.04843122897338279,
Teramo,129.0,0.0,129.0,100.0,3683.1492383841723,0.03502437497118454,0.0,0.03502437497118454,
Verbano-Cusio-Ossola,123.0,0.0,123.0,100.0,4718.455843521604,0.026067850177908913,0.0,0.026067850177908913,
Aargau,123.0,0.0,123.0,100.0,3109.4772340896975,0.0395564883548692,0.0,0.0395564883548692,
Slovenske Konjice,122.0,0.0,122.0,100.0,218.68203877731318,0.5578876101673546,0.0,0.5578876101673546,
Šentjur pri Celju,119.0,0.0,119.0,100.0,476.5478151678312,0.249712612695728,0.0,0.249712612695728,
