hour,count,percent
0,1185,4.724880382775119
1,475,1.893939393939394
2,68,0.2711323763955343
3,53,0.21132376395534289
4,289,1.1523125996810208
5,290,1.1562998405103668
6,387,1.5430622009569377
7,593,2.364433811802233
8,505,2.0135566188197767
9,214,0.8532695374800638
10,426,1.6985645933014353
11,371,1.4792663476874004
12,461,1.8381180223285487
13,1266,5.047846889952154
14,1984,7.910685805422648
15,2411,9.613237639553429
16,2463,9.820574162679426
17,2651,10.570175438596491
18,1818,7.248803827751196
19,1586,6.323763955342902
20,911,3.6323763955342905
21,1823,7.268740031897927
22,1400,5.582137161084529
23,1450,5.781499202551834
