hour,count,percent
0,1562,2.5923159903742428
1,1214,2.0147705584598787
2,467,0.7750394158161148
3,564,0.9360219068956933
4,541,0.897850800763422
5,453,0.7518048294747324
6,572,0.9492988133764834
7,598,0.9924487594390506
8,771,1.279561862086134
9,623,1.0339390921915195
10,1506,2.499377645008713
11,1943,3.2246286615218653
12,2118,3.5150609907891464
13,2314,3.8403451995685005
14,8783,14.576383702597296
15,7783,12.916770392498547
16,5772,9.579288025889968
17,5419,8.99344452742511
18,2432,4.036179570160153
19,2498,4.14571404862667
20,3754,6.2301883661106965
21,3865,6.414405443531656
22,2465,4.090946809393412
23,2238,3.7142145880009956
