province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Bayern,3103.0,288.0,2815.0,977.4305555555555,162239.1648202032,0.019126084650637896,0.0017751570671555635,0.017350927583482334,977.4305555555557
Kärnten,1468.0,0.0,1468.0,100.0,20555.75702592935,0.0714155162540714,0.0,0.0714155162540714,
Steiermark,1417.0,0.0,1417.0,100.0,35694.06340064392,0.039698478262198564,0.0,0.039698478262198564,
Bergamo,1088.0,0.0,1088.0,100.0,5625.302011469771,0.19341183776117452,0.0,0.19341183776117452,
Como,1082.0,0.0,1082.0,100.0,2687.4415075287234,0.40261341389899463,0.0,0.40261341389899463,
Ardennes,1014.0,0.0,1014.0,100.0,12354.438972224416,0.08207576258862925,0.0,0.08207576258862925,
Vorarlberg,1118.0,118.0,1000.0,847.4576271186442,5642.474633451219,0.19814001349194818,0.020912810010778073,0.1772272034811701,847.4576271186439
Niederösterreich,996.0,159.0,837.0,526.4150943396227,43085.20508977451,0.023116984076661216,0.003690361915852543,0.019426622160808673,526.4150943396227
Sachsen,716.0,0.0,716.0,100.0,45898.839134069545,0.015599523070912077,0.0,0.015599523070912077,
Lecco,608.0,0.0,608.0,100.0,1716.8369275303764,0.354139633328246,0.0,0.354139633328246,
Brescia,600.0,0.0,600.0,100.0,9987.96301420034,0.060072308952981976,0.0,0.060072308952981976,
Bozen,542.0,0.0,542.0,100.0,15707.48329222931,0.03450584602997058,0.0,0.03450584602997058,
Schwyz,545.0,21.0,524.0,2495.2380952380954,1957.70641102827,0.278386992518323,0.01072683824382529,0.2676601542744977,2495.238095238095
Luxembourg,523.0,10.0,513.0,5130.0,10708.722654921836,0.048838691303637785,0.0009338181893620991,0.04790487311427569,5130.0
Luxembourg,523.0,10.0,513.0,5130.0,2377.5934837313134,0.21997032023288599,0.004205933465255946,0.21576438676763005,5130.0
Baden-Württemberg,724.0,212.5,511.5,240.7058823529412,82361.67344410799,0.008790496473961502,0.0025800835645259936,0.006210412909435508,240.70588235294116
Milano,507.0,0.0,507.0,100.0,3146.051462392725,0.16115438862351025,0.0,0.16115438862351025,
Ferrara,500.0,0.0,500.0,100.0,5323.730690410394,0.09391910092308899,0.0,0.09391910092308899,
Piacenza,481.0,0.0,481.0,100.0,5186.92199595501,0.09273322413082459,0.0,0.09273322413082459,
Parma,469.0,0.0,469.0,100.0,6892.15418899332,0.06804839055240332,0.0,0.06804839055240332,
Brandenburg,455.0,0.0,455.0,100.0,80820.48524680574,0.005629760803966256,0.0,0.005629760803966256,
Varese,413.0,0.0,413.0,100.0,2310.187990328194,0.1787733300186223,0.0,0.1787733300186223,
Bologna,379.0,0.0,379.0,100.0,7213.924297891325,0.05253728544265207,0.0,0.05253728544265207,
Thüringen,365.0,0.0,365.0,100.0,40338.967099698064,0.009048322905688183,0.0,0.009048322905688183,
Hérault,361.0,0.0,361.0,100.0,11783.446100271245,0.030636199031087354,0.0,0.030636199031087354,
Lozère,351.0,1.0,350.0,35000.0,10190.376363139854,0.034444262654480605,9.813180243441769e-05,0.034346130852046186,34999.99999999999
Ticino,317.0,0.0,317.0,100.0,6116.334424215956,0.05182842827313776,0.0,0.05182842827313776,
Rheinland-Pfalz,297.0,0.0,297.0,100.0,48402.58426572707,0.006136036009347954,0.0,0.006136036009347954,
Tirol,290.0,10.0,280.0,2800.0,27535.000090750826,0.010532050083319694,0.0003631741408041274,0.010168875942515566,2800.0
Oberösterreich,371.0,92.0,279.0,303.2608695652174,26675.0661232829,0.01390811922584809,0.003448913662474459,0.010459205563373632,303.2608695652174
