hour,count,percent
0,917,3.9688379138714565
1,739,3.1984418956935725
2,743,3.2157541657649857
3,1102,4.769530404674313
4,1134,4.908028565245618
5,1282,5.548582557887903
6,537,2.3241722570872105
7,224,0.9694871239991344
8,45,0.19476303830339753
9,116,0.5020558320709803
10,118,0.5107119671066869
11,54,0.23371564596407704
12,79,0.341917333910409
13,570,2.4669984851763687
14,1051,4.548798961263795
15,968,4.189569357281973
16,647,2.800259684051071
17,1853,8.019909110582125
18,1348,5.834235014066219
19,1397,6.04631032244103
20,1529,6.617615234797662
21,1860,8.050205583207099
22,2655,11.491019259900455
23,2137,9.249080285652456
