hour,count,percent
0,714,7.998207684552481
1,440,4.928867480676599
2,161,1.8035174190657557
3,51,0.5713005488966058
4,67,0.7505320936484822
5,53,0.5937044919905903
6,39,0.43687689033269855
7,60,0.6721182928195363
8,120,1.3442365856390726
9,150,1.6802957320488408
10,120,1.3442365856390726
11,747,8.367872745603226
12,256,2.8677047160300213
13,280,3.1365520331578356
14,1695,18.9873417721519
15,943,10.563459168813711
16,560,6.273104066315671
17,522,5.847429147529965
18,163,1.82592136215974
19,288,3.2261678055337737
20,428,4.794443822112692
21,437,4.8952615660356225
22,381,4.267951159404055
23,252,2.822896829842052
