hour,count,percent
0,345,0.9996522948539638
1,572,1.6573945294390355
2,94,0.2723690310616597
3,161,0.4665044042651831
4,294,0.8518776077885953
5,203,0.5882012053778396
6,311,0.9011358368103848
7,281,0.8142095503013446
8,83,0.24049605934167825
9,235,0.6809225776541493
10,805,2.3325220213259157
11,923,2.6744320815948077
12,1396,4.04496986555401
13,1721,4.986671302735281
14,5992,17.36207695873899
15,4446,12.882475660639777
16,4468,12.94622160407974
17,4323,12.526077885952713
18,1900,5.505331478905888
19,964,2.7932313398238295
20,1825,5.288015762633287
21,1548,4.485396383866481
22,896,2.5961984237366713
23,726,2.103616133518776
