province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Cantal,1727.0,2.0,1725.0,86250.0,11609.235262411508,0.148760875368914,0.0001722766362118286,0.14858859873270217,86250.0
Una-Sana,1228.0,0.0,1228.0,100.0,9583.17311758902,0.1281412727216751,0.0,0.1281412727216751,
Gerona,1087.0,88.0,999.0,1135.2272727272727,10680.721661560492,0.10177214934006486,0.008239143644825857,0.09353300569523901,1135.227272727273
Pavia,970.0,5.0,965.0,19300.0,6098.647156537802,0.1590516675423912,0.0008198539564040784,0.15823181358598712,19300.0
Milano,1423.0,507.0,916.0,180.6706114398422,3146.051462392725,0.4523130079117458,0.16115438862351025,0.2911586192882355,180.67061143984222
Mantova,874.0,118.0,756.0,640.6779661016949,4646.058124530389,0.18811645841997326,0.025397874248920878,0.1627185841710524,640.6779661016949
Aveyron,680.0,1.0,679.0,67900.0,17208.810146931664,0.039514643615337006,5.810977002255442e-05,0.03945653384531445,67900.0
Verona,664.0,4.0,660.0,16500.0,6263.807382266276,0.1060058139526892,0.0006385892406788505,0.10536722471201035,16500.000000000004
Perugia,787.0,151.0,636.0,421.1920529801325,11960.142823045504,0.06580188979713204,0.012625267292715297,0.053176622504416744,421.19205298013236
Cremona,576.0,74.0,502.0,678.3783783783784,3584.09000527475,0.16071024978510406,0.020646802923780728,0.14006344686132333,678.3783783783784
Karlovacka,456.0,0.0,456.0,100.0,6654.372135002531,0.06852637495300322,0.0,0.06852637495300322,
Brescia,1012.0,600.0,412.0,68.66666666666667,9987.96301420034,0.10132196110069627,0.060072308952981976,0.0412496521477143,68.66666666666667
Barcelona,420.0,56.0,364.0,650.0,13931.29434929422,0.030147952478032154,0.004019726997070954,0.0261282254809612,650.0
Macerata,449.0,89.0,360.0,404.49438202247194,5222.792754978563,0.08596933117286652,0.0170406914796996,0.06892863969316693,404.49438202247194
Banja Luka,329.0,0.0,329.0,100.0,17632.776394989618,0.018658434306096337,0.0,0.018658434306096337,
Cetinje,319.0,0.0,319.0,100.0,1780.270349976156,0.17918626797568837,0.0,0.17918626797568837,
