province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Łódź,668.0,0.0,668.0,100.0,47912.61627382707,0.013942048085671002,0.0,0.013942048085671002,
Bayern,575.0,0.0,575.0,100.0,162239.1648202032,0.0035441503944946147,0.0,0.0035441503944946147,
Masovian,330.0,0.0,330.0,100.0,93468.35834525601,0.003530606569348708,0.0,0.003530606569348708,
Bratislavský,180.0,0.0,180.0,100.0,4734.838883243985,0.038016077091239144,0.0,0.038016077091239144,
Niederösterreich,159.0,0.0,159.0,100.0,43085.20508977451,0.003690361915852543,0.0,0.003690361915852543,
Świętokrzyskie,153.0,0.0,153.0,100.0,27908.98143150657,0.005482106194935428,0.0,0.005482106194935428,
Trnavský,125.0,0.0,125.0,100.0,9276.497485921514,0.01347491337001992,0.0,0.01347491337001992,
Vorarlberg,118.0,0.0,118.0,100.0,5642.474633451219,0.020912810010778073,0.0,0.020912810010778073,
Lublin,107.0,0.0,107.0,100.0,62896.972124921675,0.0017011947695587618,0.0,0.0017011947695587618,
Oberösterreich,92.0,0.0,92.0,100.0,26675.0661232829,0.003448913662474459,0.0,0.003448913662474459,
Savoie,86.0,0.0,86.0,100.0,12540.126166087115,0.006857985227658559,0.0,0.006857985227658559,
Trenciansky,78.0,0.0,78.0,100.0,10423.10760671654,0.0074833728042621025,0.0,0.0074833728042621025,
Sankt Gallen,76.0,0.0,76.0,100.0,4406.287770052629,0.017248079101082465,0.0,0.017248079101082465,
Lower Silesian,59.0,0.0,59.0,100.0,49733.1569356463,0.0011863312855112898,0.0,0.0011863312855112898,
West Pomeranian,40.0,0.0,40.0,100.0,67002.52866766034,0.000596992394099098,0.0,0.000596992394099098,
Haute-Savoie,38.0,0.0,38.0,100.0,9743.235208776816,0.0039001419123874965,0.0,0.0039001419123874965,
Silesian,36.0,0.0,36.0,100.0,29998.358039065548,0.001200065682032289,0.0,0.001200065682032289,
Appenzell Innerrhoden,32.0,0.0,32.0,100.0,361.8395429252337,0.08843698989143403,0.0,0.08843698989143403,
Jura,29.0,0.0,29.0,100.0,1846.4348185219806,0.01570594299300188,0.0,0.01570594299300188,
Jura,29.0,0.0,29.0,100.0,10526.980850075899,0.0027548259480106216,0.0,0.0027548259480106216,
Vysočina,29.0,0.0,29.0,100.0,16420.658676735304,0.0017660680104804223,0.0,0.0017660680104804223,
Warmian-Masurian,27.0,0.0,27.0,100.0,70406.18681462435,0.00038348902591599693,0.0,0.00038348902591599693,
Appenzell Ausserrhoden,26.0,0.0,26.0,100.0,521.2509693436006,0.04988000316381417,0.0,0.04988000316381417,
Greater Poland,25.0,0.0,25.0,100.0,78996.72010868628,0.0003164688352327056,0.0,0.0003164688352327056,
Glarus,25.0,0.0,25.0,100.0,1444.6463698162563,0.017305273125892903,0.0,0.017305273125892903,
Wien,23.0,0.0,23.0,100.0,922.8270347889726,0.02492341374162226,0.0,0.02492341374162226,
Jihočeský,22.0,0.0,22.0,100.0,23246.252728282718,0.000946389091487143,0.0,0.000946389091487143,
