hour,count,percent
0,182,1.003584229390681
1,441,2.431761786600496
2,226,1.246208988144472
3,132,0.727874276261373
4,91,0.5017921146953405
5,105,0.5789909015715468
6,116,0.6396470912599945
7,152,0.8381582575130962
8,139,0.7664736696994762
9,299,1.6487455197132617
10,176,0.9704990350151641
11,225,1.240694789081886
12,308,1.6983733112765371
13,239,1.317893575958092
14,271,1.4943479459608493
15,715,3.942652329749104
16,1803,9.942100909842845
17,1111,6.126275158533224
18,2291,12.63303005238489
19,2396,13.212020953956438
20,2585,14.254204576785224
21,1790,9.870416322029225
22,1733,9.556106975461814
23,609,3.3581472291149708
