hour,count,percent
0,116,4.625199362041467
1,0,0.0
2,0,0.0
3,1,0.03987240829346093
4,41,1.634768740031898
5,74,2.9505582137161084
6,37,1.4752791068580542
7,15,0.5980861244019139
8,50,1.9936204146730463
9,74,2.9505582137161084
10,29,1.1562998405103668
11,114,4.545454545454546
12,72,2.8708133971291865
13,84,3.349282296650718
14,114,4.545454545454546
15,183,7.29665071770335
16,148,5.901116427432217
17,97,3.86762360446571
18,108,4.30622009569378
19,203,8.094098883572567
20,204,8.133971291866029
21,442,17.62360446570973
22,185,7.376395534290271
23,117,4.6650717703349285
