hour,count,percent
0,1492,11.081402257872847
1,872,6.47653000594177
2,716,5.317884729649435
3,257,1.9087938205585262
4,219,1.6265597147950088
5,100,0.7427213309566251
6,18,0.1336898395721925
7,79,0.5867498514557338
8,23,0.17082590612002377
9,139,1.0323826500297089
10,32,0.23767082590612004
11,42,0.31194295900178254
12,8,0.05941770647653001
13,166,1.2329174093879978
14,66,0.49019607843137253
15,637,4.731134878193702
16,1142,8.481877599524658
17,2230,16.562685680332738
18,0,0.0
19,0,0.0
20,1518,11.27450980392157
21,2065,15.337195484254307
22,1304,9.68508615567439
23,339,2.5178253119429588
