hour,count,percent
0,327,4.275068636423062
1,183,2.392469603869787
2,191,2.4970584390116355
3,174,2.2748071643352072
4,70,0.9151523074911754
5,11,0.14380964832004184
6,0,0.0
7,0,0.0
8,14,0.18303046149823507
9,7,0.09151523074911753
10,8,0.10458883514184861
11,24,0.3137665054255458
12,67,0.8759314943129821
13,233,3.0461498235063407
14,507,6.628317427114655
15,1037,13.557327755262124
16,1039,13.583474964047587
17,872,11.400183030461498
18,810,10.589619558112172
19,560,7.321218459929403
20,280,3.6606092299647015
21,141,1.8433782193750816
22,250,3.268401098182769
23,844,11.034122107465027
