hour,count,percent
0,93,8.603145235892692
1,22,2.0351526364477337
2,15,1.3876040703052728
3,3,0.27752081406105455
4,4,0.37002775208140615
5,10,0.9250693802035153
6,0,0.0
7,0,0.0
8,27,2.497687326549491
9,49,4.532839962997224
10,75,6.938020351526363
11,43,3.9777983348751156
12,67,6.1979648473635525
13,47,4.3478260869565215
14,52,4.810360777058279
15,123,11.378353376503238
16,127,11.748381128584644
17,98,9.065679925994448
18,0,0.0
19,37,3.4227567067530065
20,74,6.845513413506013
21,59,5.45790934320074
22,51,4.717853839037928
23,5,0.46253469010175763
