province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Podujevo,0.0,1.0,-1.0,-100.0,1069.785249311655,0.0,0.0009347670484739271,-0.0009347670484739271,-100.0
Mogilev,0.0,1.0,-1.0,-100.0,81455.7879920312,0.0,1.2276598442554257e-05,-1.2276598442554257e-05,-100.0
Midtjylland,0.0,1.0,-1.0,-100.0,42624.437398566406,0.0,2.346072021196069e-05,-2.346072021196069e-05,-100.0
Aoste,0.0,1.0,-1.0,-100.0,6779.870709419215,0.0,0.00014749543801929863,-0.00014749543801929863,-100.0
Beltinci,0.0,1.0,-1.0,-100.0,124.67193683193132,0.0,0.008021051291984719,-0.008021051291984719,-100.0
Miklavž na Dravskem polju,0.0,1.0,-1.0,-100.0,23.122811804617683,0.0,0.04324733550788566,-0.04324733550788566,-100.0
Niedersachsen,0.0,1.0,-1.0,-100.0,129790.42903725541,0.0,7.704728364161252e-06,-7.704728364161252e-06,-100.0
Posavina,0.0,1.0,-1.0,-100.0,1191.367899327006,0.0,0.0008393712811675486,-0.0008393712811675486,-100.0
Miren-Kostanjevica,0.0,1.0,-1.0,-100.0,141.86286199299067,0.0,0.007049061226816425,-0.007049061226816425,-100.0
Šenčur,0.0,1.0,-1.0,-100.0,90.99996301836973,0.0,0.01098901545485392,-0.01098901545485392,-100.0
Asti,0.0,1.5,-1.5,-100.0,3040.5216406141853,0.0,0.000493336399900446,-0.000493336399900446,-100.0
Gabrovo,0.0,1.5,-1.5,-100.0,3867.4310813619168,0.0,0.0003878543582143873,-0.0003878543582143873,-100.0
Thurgau,0.0,1.5,-1.5,-100.0,2070.1375894503367,0.0,0.0007245895189016302,-0.0007245895189016302,-100.0
Limburg,0.0,2.0,-2.0,-100.0,5326.797171290094,0.0,0.00037546013780652757,-0.00037546013780652757,-100.0
Limburg,0.0,2.0,-2.0,-100.0,5959.761329338726,0.0,0.00033558390839485394,-0.00033558390839485394,-100.0
Bjelovarsko-bilogorska,0.0,2.0,-2.0,-100.0,5485.232469727383,0.0,0.00036461535787915295,-0.00036461535787915295,-100.0
Balzers,0.0,2.0,-2.0,-100.0,40.42971973403443,0.0,0.04946855959321345,-0.04946855959321345,-100.0
Dol pri Ljubljani,0.0,2.0,-2.0,-100.0,71.82758489096953,0.0,0.02784445562294617,-0.02784445562294617,-100.0
Vlasenica,0.0,2.0,-2.0,-100.0,4293.436003355685,0.0,0.00046582736960253514,-0.00046582736960253514,-100.0
Opole,0.0,2.0,-2.0,-100.0,22825.75559104764,0.0,8.762031960004026e-05,-8.762031960004026e-05,-100.0
Panevezio,0.0,2.0,-2.0,-100.0,24593.90747047313,0.0,8.132095326459016e-05,-8.132095326459016e-05,-100.0
Metlika,0.0,2.0,-2.0,-100.0,114.79577269966595,0.0,0.017422244329784627,-0.017422244329784627,-100.0
