hour,count,percent
0,4189,8.331344470962609
1,1660,3.30151153540175
2,983,1.955051710421639
3,1475,2.93357199681782
4,321,0.6384248210023866
5,147,0.29236276849642007
6,943,1.8754972155926812
7,154,0.3062848050914877
8,1245,2.476133651551313
9,964,1.917263325377884
10,1347,2.678997613365155
11,1109,2.205648369132856
12,1107,2.201670644391408
13,4760,9.466984884645981
14,1191,2.3687350835322194
15,3267,6.497613365155132
16,2451,4.8747016706443915
17,3673,7.305091487669054
18,4266,8.484486873508352
19,2419,4.811058074781225
20,3513,6.986873508353223
21,1995,3.967780429594272
22,2695,5.359984089101035
23,4406,8.762927605409706
