hour,count,percent
0,773,3.4150651645681465
1,466,2.0587585597525955
2,488,2.155953169869671
3,106,0.4683013032913629
4,0,0.0
5,0,0.0
6,184,0.81290037552463
7,0,0.0
8,1039,4.590236359620057
9,0,0.0
10,1300,5.743317870554451
11,588,2.5977468522200136
12,711,3.141153081510934
13,3687,16.288933068257126
14,365,1.6125469405787498
15,2112,9.330682571239231
16,1412,6.238126794786834
17,1149,5.076209410205434
18,1959,8.654738237243208
19,1328,5.867020101612547
20,1518,6.706428098078197
21,1235,5.456151977026728
22,674,2.9776894190413077
23,1541,6.808040645018776
