hour,count,percent
0,320,3.8712799419308013
1,201,2.4316477135252845
2,206,2.492136462617953
3,345,4.173723687394144
4,134,1.6210984756835227
5,120,1.4517299782240503
6,178,2.153399467699008
7,236,2.8550689571739656
8,499,6.036777159448343
9,91,1.1008952334865716
10,413,4.99637067505444
11,0,0.0
12,0,0.0
13,0,0.0
14,610,7.379627389305589
15,1665,20.1427534478587
16,0,0.0
17,0,0.0
18,0,0.0
19,617,7.464311638035326
20,943,11.408178078877329
21,672,8.129687878054682
22,222,2.685700459714493
23,794,9.6056133559158
