hour,count,percent
0,52,7.084468664850137
1,1,0.13623978201634876
2,5,0.6811989100817438
3,2,0.2724795640326975
4,0,0.0
5,0,0.0
6,2,0.2724795640326975
7,1,0.13623978201634876
8,3,0.4087193460490463
9,3,0.4087193460490463
10,2,0.2724795640326975
11,19,2.588555858310627
12,36,4.904632152588556
13,69,9.400544959128066
14,64,8.71934604904632
15,162,22.070844686648503
16,107,14.577656675749317
17,86,11.716621253405995
18,16,2.17983651226158
19,100,13.623978201634879
20,0,0.0
21,0,0.0
22,0,0.0
23,4,0.544959128065395
