hour,count,percent
0,2,0.08453085376162299
1,0,0.0
2,1,0.042265426880811495
3,4,0.16906170752324598
4,5,0.2113271344040575
5,3,0.12679628064243448
6,5,0.2113271344040575
7,5,0.2113271344040575
8,16,0.6762468300929839
9,70,2.9585798816568047
10,123,5.198647506339814
11,69,2.916314454775993
12,248,10.48182586644125
13,127,5.36770921386306
14,267,11.28486897717667
15,369,15.595942519019443
16,433,18.30092983939138
17,172,7.269653423499578
18,118,4.987320371935756
19,45,1.9019442096365173
20,87,3.6770921386306
21,26,1.098901098901099
22,91,3.8461538461538463
23,80,3.38123415046492
